国际化数据分析师,北京,字节跳动,3-6万/月,06-23,"['北京\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,计算机软件']",['民营公司'],['10000人以上'],[]
数据分析岗,温州,中国平安人寿保险股份有限公司温州中心支公司,4.5-6千/月,06-23,[],[],[],[],[]
商品专员/货控（数据分析方向）,武汉-江汉区,百丽鞋业（武汉）有限公司,4.5-6千/月,06-23,"['武汉-江汉区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-23发布']","['服装/纺织/皮革,批发/零售']",['民营公司'],['1000-5000人'],"['岗位职责：', '1、负责辖区内货品的配、补、退、调、上市计划等货品的相关管理；', '2、根据季度及年度预算积极完成货品售罄率目标，并监管和降低公司库存的职责。', '3、制作每周、月、季度销售数据分析及报告。', '4、负责所辖区域内商品进销动态的数据收集、整理分析，合理控制库存、优化商品结构，提出合理的促销建议和进货优惠建议；', '5、跟踪及分析货品进销运作情况，进行货品管理；', '任职要求：', '1、大专及以上学历；', '2、两年以上服饰鞋类货品采购、销售及库存管理工作经验；', '3、具备良好的数据分析与逻辑判断能力，能根据各项指标的完成情况进行分析，协助制定相关措施；', '4、沟通能力强，具备较强的团队合作精神。', '福利待遇：', '1、5天工作制；', '2、按照国家规定购买五险（养老、医疗、工伤、失业、生育）一金；', '3、享受国家法定节假日（元旦、春节、清明、五一、十一、端午、中秋等）、带薪年假；', '4、节假日福利、婚育礼金、生日会礼物、健康体检、分享会；', '5、年终奖金。']"
数据专员,黄石,黄石市中梁房地产有限公司,8-15万/年,06-23,"['黄石\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['房地产'],['民营公司'],['1000-5000人'],"['1、严格执行营销管理制度，与现场销售的对接；', '\xa0\xa0', '\xa0', '\xa0 \xa0', '本岗位为武汉/黄石新项目储备。', '\xa0\xa0', '\xa0 \xa0\xa0', '\xa0 \xa0', '\xa0']"
产品经理(大数据平台方向),上海,上海宏原信息科技有限公司,1.5-2.3万/月,06-23,"['上海\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,计算机服务(系统、数据服务、维修)']",['民营公司'],['50-150人'],"['工作职责:', '1、负责大数据平台方向产品，独立负责大数据平台相关产品策划、落地。', '2、负责业务调研、相关用户意见搜集，制定产品版本迭代计划、目标，撰写详细的产品方案文档和详细需求文档。', '3、负责推进需求设计评审、研发、上线、培训、验收全流程，对产品体验、进度和质量负责。', '4、负责与各业务方对接，完善工作流程、支持工具，推动大数据平台发展方向，提升业务服务效率、质量和价值。', '任职资格:', '1、本科及以上学历，5年以上产品经理相关经验，2年以上大数据平台产品相关经验。', '2、有很强的沟通能力和项目推动能力，熟悉产品开发流程和设计规范，能够跨职能、跨部门协调和解决问题。', '3、良好的逻辑思维、流程梳理和系统分析能力，能够去理解场景并做出合理的规划和设计。', '4、有独立负责过大数据平台产品全过程建设经验者优先。', '5、有大型互联网企业从业经验的产品经理优先。']"
数据仓库开发工程师,上海-长宁区,上海润迅商凯电话商务有限公司,1.5-2.2万/月,06-23,"['上海-长宁区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招5人\xa0\xa0', '\xa0\xa006-23发布']","['通信/电信运营、增值服务,通信/电信/网络设备']",['民营公司'],['1000-5000人'],"['岗位职责：', '1.负责数据产品的数仓模型设计、优化；', '2.负责数据模型的ETL开发及维护；', '3.负责面向业务的数据消费、提取、分析、报表、挖掘等系统设计和开发工作。', '4.负责数据全生命周期管理和数据源头回溯相关的技术开发工作；', '5.负责数据仓库质量控制、稽核的相关开发工作。', '任职要求：', '1、计算机专业大专及以上学历。两年以上的离线、实时、OLAP数据分析处理项目经验；', '2、精通SQL开发，掌握MySQl、Oracle等关系型数据库中的一种，对redis、mongoDB等数据库有一定的了解。', '3、具备实时处理框架的设计和开发能力，熟练掌握Storm、Spark\xa0streaming等大数据实时处理框架中的一种;', '4、熟悉Spark\xa0、R、Hadoop、Hbase、Hive、Elastic\xa0Search/Solr等大数据相关技术;', '5、熟悉Scala、熟悉Linux开发环境，能进行shell脚本/python脚本的编写;', '6、两年以上数据仓库设计和ETL开发经验，熟悉数据仓库建模设计、元数据管理、数据质量监控等；', '7、具有较强的逻辑分析能力，高度的责任心及团队合作精神;']"
数据处理工程师,合肥-高新区,拓航科技有限公司,3-7千/月,06-23,"['合肥-高新区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-23发布']","['计算机软件,航天/航空']",['民营公司'],['50-150人'],"['工作职责：', '1、按照地图数据处理流程和规范进行数据质量保证；', '2、参与4D数据制作及部分三维建模工作；', '3. 与无人机飞手配合进行工程项目工作；', '4、质量保证过程中能够识别问题、分析问题并制定改善方案；', '能力要求：', '1、相关行业工作经验：有地图/测绘相关背景或从业经验，地图学常识，具备地图投影、坐标转换的技能者优先', '2、熟练使用office办公软件。', '3、对图像数据敏感，有较强的分析能力和自学能力。', '4、熟练使用GIS相关软件，如ArcGis、', '5、工作态度端正，认真负责。了解无人机航拍及航测相关知识，能够对无人机航拍采集的图片进行质量审核及处理；', '6、 能熟练使用红外测温软件，如flir\xa0tools等，识别图片数据中的隐患缺陷，并根据相关规范编写数据处理报告；', '7、遥感、地信、测绘、无人机等相关专业、有电网行业工作经历者优先；', '\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0\xa0']"
数据产品经理,广州-天河区,千音网络科技（广州）有限公司,0.8-1万/月,06-23,"['广州-天河区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,计算机软件']",['民营公司'],['50-150人'],"['1.负责公司项目产品/运营系统数据报表的整体开发规划', '2.深刻理解内外部客户对相应产品的需求，制定短期及长期产品目标、策略和计划，通过新产品设计和已有产品的优化满足业务需求', '3.确定技术实施方案及合理的执行计划，在产品的设计、开发、发布、运营、数据等不同阶段把握产品的方向和质量', '4.负责产品需求文档、用户手册的编写组织工作', '5.负责产品开发中需求跟进以及上线后功能确认', '6.负责竞争对手的产品跟踪分析，根据市场反馈和用户需求，不断改善产品功能', '任职要求：', '岗位要求：', '1.具有1年以上全职产品经理且负责过业务数据优化工作经验\xa0\xa0\xa0\xa0', '2.独立负责至少一个较大功能模块的规划、设计、开发、运营等工作\xa0', '3.优秀的逻辑分析能力，具备良好的沟通交流能力和文字语言表达能力', '4.熟悉Axure、Excel、PPT等基础办公软件；能熟练使用EXCEL各种统计函数及图表制作功能\xa0', '5.熟练使用SQL语言，注重SQL查询效率，能高效处理MySQL/Oracle等关系型数据库数据。', '6.熟悉项目管理知识，独立针对小型项目进行任务分解和进度安排，并跟踪监控\xa0\xa0', '7.具有良好的分析报告撰写能力，熟悉数据可视化相关理论，能制作专业分析报告', '8.具有音视频社交行业经验优先考虑']"
数据处理专员,苏州,瑞泰信息技术有限公司,2.5-4千/月,06-23,"['苏州\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招6人\xa0\xa0', '\xa0\xa006-23发布']","['计算机软件,互联网/电子商务']",['民营公司'],['150-500人'],"['1.对项目数据进行收集、录入和统计并进行格式整理，特例处理；', '2对项目数据进行校对复核，调整删除；', '3.按照项目进度，完成数据准时、准确、完整的交付；', '\xa0', '职位要求:', '1大专以上学历（或在读大专以上学生），熟悉Excel办公软件操作；', '2、工作细心、有耐心；']"
"库管员,数据员，发货员",龙岩,中铁十二局集团建筑安装工程有限公司原平构件分公司,3-4.5千/月,06-23,"['龙岩\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-23发布']",['建筑/建材/工程'],['国企'],['150-500人'],['1.']
数据统计员,昆明-盘龙区,昆明宝力豪健身有限公司,3-4.5千/月,06-23,"['昆明-盘龙区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['娱乐/休闲/体育'],['民营公司'],['50-150人'],"['工作内容：', '1、规范审核公司销售部门合约（会籍合约和私教合约）；', '2、统计业绩', '3、统计私教课时', '4、财务部领导安排其他事物', '要求：', '1、了解财务基本常识', '2、熟练使用Excel', '3、思维清晰，有责任心，认真负责', '4、有良好的沟通能力，语言表达清楚']"
