国际化数据分析师,北京,字节跳动,3-6万/月,06-23,"['北京\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,计算机软件']",['民营公司'],['10000人以上'],[]
数据分析师（房地产评估）,北京-海淀区,瑞庭网络技术（上海）有限公司北京分公司,1-2万/月,06-23,"['北京-海淀区\xa0\xa0', '\xa0\xa0无需经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,广告']",['上市公司'],['10000人以上'],"['【岗位职责】', '1.参与完善城市住宅小区价格数据监控、采集和运营工作，并输出专业研究报告；', '2.负责多城市的房产基础数据类项目，负责各类数据的采集，包括项目实地线下数据采集并编制报表；', '3.负责多城市的房产数据质量审核及运营；', '4.通过对外横向沟通和协调，解决数据应用问题；', '5.参与集团房产数据库的运营分析，能够通过数据分析工具输出分析报告；', '【任职要求】', '1.本科以上学历，房地产相关专业、应用数据、统计学、经济类、金融类、信息管理类专业毕业者优先；', '2.有房产估价经验，熟悉房产业务者优先。', '3.对房产数据发展、数据分析挖掘、市场研究、数据商业化应用有较好的发展意向；', '4.有较强的沟通能力，反应敏捷，思路活跃，逻辑清晰，快速学习，善于表达，承担一定的工作压力。 ']"
项目经理（数据中心）,深圳,深圳中青宝互动网络股份有限公司,2-2.5万/月,06-23,"['深圳\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['网络游戏'],['上市公司'],['500-1000人'],['5、有数据中心施工现场管管理经验；\xa0']
数据分析岗,温州,中国平安人寿保险股份有限公司温州中心支公司,4.5-6千/月,06-23,[],[],[],[],[]
商品专员/货控（数据分析方向）,武汉-江汉区,百丽鞋业（武汉）有限公司,4.5-6千/月,06-23,"['武汉-江汉区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-23发布']","['服装/纺织/皮革,批发/零售']",['民营公司'],['1000-5000人'],"['岗位职责：', '1、负责辖区内货品的配、补、退、调、上市计划等货品的相关管理；', '2、根据季度及年度预算积极完成货品售罄率目标，并监管和降低公司库存的职责。', '3、制作每周、月、季度销售数据分析及报告。', '4、负责所辖区域内商品进销动态的数据收集、整理分析，合理控制库存、优化商品结构，提出合理的促销建议和进货优惠建议；', '5、跟踪及分析货品进销运作情况，进行货品管理；', '任职要求：', '1、大专及以上学历；', '2、两年以上服饰鞋类货品采购、销售及库存管理工作经验；', '3、具备良好的数据分析与逻辑判断能力，能根据各项指标的完成情况进行分析，协助制定相关措施；', '4、沟通能力强，具备较强的团队合作精神。', '福利待遇：', '1、5天工作制；', '2、按照国家规定购买五险（养老、医疗、工伤、失业、生育）一金；', '3、享受国家法定节假日（元旦、春节、清明、五一、十一、端午、中秋等）、带薪年假；', '4、节假日福利、婚育礼金、生日会礼物、健康体检、分享会；', '5、年终奖金。']"
大数据开发工程师,深圳,深圳市引路者企业管理咨询有限公司,0.8-1万/月,06-23,"['深圳\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['专业服务(咨询、人力资源、财会)'],['民营公司'],['少于50人'],"['大数据开发工程师', '1、负责大数据平台的设计和落地实现，包括数据建模、数据抽取ETL，存储过程及接口开发；', '2、负责基于大数据库的数据对接、数据预处理、数据清洗、数据处理、数据导入、数据校验相关开发工作；', '3、掌握存储过程，数据分区、SQL脚本执行优化等技能；', '4、对大数据仓库、维度建模、SQL优化有一定了解，熟悉HIVE数据库开发优先；', '5、有大数据仓库实施、ETL开发、有阿里云dataworks及华为云DLF等开发经验者优先；', '6、3年以上同岗位工作经验，自驱能力强，有良好执行力，有技术追求。', '优厚的薪资：底薪8000-10000+提成（根据项目而定）+年终奖金+五险一金+双休+公司福利。', '工作地点：龙岗中心城-珠江广场A3栋5F', '工作时间：周一至周五5天8小时双休制；国家法定节假日正常放假。', '公司福利：丰富多彩的员工活动：员工生日会、周未交流会、每年1到2次全员外出旅游，每月1次部门聚餐，每周不定期下午茶水果等等。']"
数据员,广州,广州狮之谦服装有限公司,4-6千/月,06-23,"['广州\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,服装/纺织/皮革']",['民营公司'],['150-500人'],"['岗位职责', '1.对公司年度\\季度\\月度目标实际完成情况进行数据监控；', '2.对接供应链生产品控仓储部门进行数据分析处理，监测进销存数据。', '3.供应链日常工作推动。', '任职要求', '1.思维灵活、具有发散思维；', '2.具备严谨的产品和数据逻辑思维，突出数据归纳整理和分析能力；', '3.熟练使用Excel数据分析处理工具，懂python；', '4.具有良好的逻辑思维能力，学习能力强。', '5.熟悉ERP、SCM、CRM等web端信息管理系统的使用和后台数据维护，能够发现系统的漏洞，并提供解决方案，有系统开发经验者更佳', '加入狮之谦，我们能为你提供：', '1.宽敞清新的办公环境，年轻有激情的团队，轻松好玩的工作氛围；', '2.精致美味又免费的午餐+晚餐；一周2-3次***煲汤+家常滋润糖水；员工内购超值网红服装，上班逛街两不误，荷包不瘪，美衣不缺。', '3.有竞争性的薪资待遇，一年有3次的调薪/晋升/调岗的申请机会，更有福利津贴：额外全勤奖100元/月、每月有内推伯乐奖、车费报销、餐补、晚班补贴、外拍实报实销等；', '4.有内外部培训机会，个性化的横纵向职业晋升发展路径，各路大神培训分享会，每周五谦学堂，根本停不下来；', '5.打造合伙人、储备店长创业制度，共同创造财富、分享财富；', '6.每月佳期必有礼：结婚贺礼、生育贺礼、过年回家红包、新年开门红包、生日贺礼、各类节日礼包等；每季度团建费、不定期下午茶，让您劳逸结合嗨不停；', '7.定期举办读书会，让你增长知识，提高心性；设置娱乐休闲区、娃娃机、桌上足球、小霸王游戏机、拳击、自助零食区等。', '上班时间：朝九晚六、固定周日休息', '面试&上班地点：', '海珠区赤岗西路畅流工业园3号楼6号电梯5楼']"
数据专员,南京-建邺区,江西鸿泽医药有限责任公司,4-5千/月,06-23,"['南京-建邺区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['批发/零售,制药/生物工程']",['民营公司'],['50-150人'],"['数据专员：', '\xa0负责市场行政数据报表的培训、指导、检查，对公司终端数据负全责。\xa0', '岗位职责:\xa0', '1.\xa0负责分公司各类销售数据报表的定期收集，审核、汇总并及时总结反馈。\xa0', '2.\xa0负责分公司经销商、分销商、连锁等的流向划拨、流向审核，制作报表并及时总结反馈。\xa0', '3.\xa0负责各项专项活动数据统计汇总，完成初步分析。', '4.\xa0负责分公司业务提成的审核、汇总。\xa0', '5.完成上级安排的其它工作。', '\xa0任职要求：\xa0', '（1）大专及以上学历，有一定工作经验者佳；\xa0', '（2）熟练操作办公软件Excel；\xa0', '（3）形象佳、具有良好的沟通能力。 \xa0', '员工福利：\xa0', '1、缴纳五险，年终丰厚奖金。', '\xa02、带薪年假，公司可提供住宿。', '\xa03、传统三节福利、专业培训、团队拓展。\xa0', '工作时间：8:30-17:30\xa0 \xa0大小休']"
数据库及存储工程师,上海-黄浦区,苏州乔客云数据科技有限公司,1.2-1.8万/月,06-23,"['上海-黄浦区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['计算机软件,互联网/电子商务']",['民营公司'],['少于50人'],"['1、五年实际工作经验；', '2、精通SQL\xa0Server数据库的管理，能写带分析函数的存储过程；', '3、有SQL\xa0Server数据库中处理海量数据的经验；', '4、对零售业的业务和财务知识有一定的了解；', '5、对BI项目的一般架构有一定的了解；', '6、对数据仓库里面的常见事实表，维度表的处理有一定的了解；', '7、对报表工具有一定的了解，熟悉Dr.Sum的MotionBoard***；', '8、做过运维项目更好，熟悉运维的SLA管理']"
数据分析/数据专员/运作主管,长沙-芙蓉区,海普诺凯营养品有限公司,4-8千/月,06-23,"['长沙-芙蓉区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['快速消费品(食品、饮料、化妆品)'],['外资（非欧美）'],['1000-5000人'],"['工作职责:', '1、通过数据分析及时跟进公司省区、区域、城市、经销商、门店各产品的销售及库存情况，协助省区完成指标；', '2、分析省区业务达成、营销活动、费用管理、经营状态，整理及规范营销流程，发现及追踪异常问题，支持销售良性发展；', '3、通过工具，追踪省区营销人员日常行为，提升人员效率及人均产出；', '4、完成好上级领导下达的各项工作。', '任职资格:', '任职要求： ', '1、市场营销，运营管理，数据分析，理工科等相关专业，本科及以上学历', '2、2年以上快消、耐消行业同等规模或以上数据分析、运营管理、类型工作经历', '3、具备较好的项目管理能力、沟通能力和组织协调能力；', '4、有较强的逻辑思维能力，细致谨慎，有创新意识；', '5、需要有强烈的责任心及服务意识；抗压能力要较强。']"
